-1	180064
-10	14985
-100	168
-101	155
-102	141
-103	155
-104	144
-105	148
-106	142
-107	107
-108	117
-109	142
-11	12986
-110	107
-1107	1
-111	114
-112	111
-1120	1
-113	121
-114	105
-115	110
-1153	1
-116	87
-117	100
-118	84
-119	106
-12	11587
-120	95
-121	78
-122	97
-123	76
-124	73
-125	75
-126	81
-127	71
-1276	1
-128	60
-1283	1
-129	68
-13	10471
-130	63
-1304	1
-131	61
-132	74
-133	54
-134	68
-135	64
-1350	1
-1354	1
-136	69
-137	50
-138	53
-139	61
-14	9409
-140	61
-141	54
-142	45
-143	50
-144	49
-145	44
-146	43
-147	47
-148	34
-149	43
-15	8466
-150	33
-151	36
-152	46
-153	33
-154	41
-155	29
-156	37
-157	41
-158	32
-159	29
-16	7723
-160	38
-161	34
-162	24
-163	33
-164	27
-165	32
-166	27
-167	22
-168	34
-169	32
-17	7170
-170	31
-171	26
-172	25
-173	21
-174	20
-175	24
-176	27
-177	15
-178	21
-179	27
-18	6559
-180	12
-181	21
-182	21
-183	16
-184	24
-185	22
-186	16
-187	14
-188	13
-189	13
-19	6001
-190	17
-191	15
-192	18
-193	13
-194	9
-195	17
-196	10
-197	11
-198	15
-199	15
-2	100097
-20	5522
-200	14
-2001	1
-201	11
-202	13
-203	7
-204	7
-205	13
-206	12
-207	5
-208	3
-209	10
-21	5185
-210	14
-211	8
-212	12
-213	5
-214	7
-215	13
-216	5
-217	10
-218	15
-219	11
-22	4797
-220	9
-221	11
-222	7
-223	8
-224	8
-225	8
-226	7
-227	5
-228	8
-229	8
-23	4537
-230	8
-231	6
-232	6
-233	9
-234	9
-235	3
-236	7
-237	6
-238	8
-239	10
-24	4024
-240	5
-241	6
-242	8
-243	4
-244	5
-245	6
-246	5
-247	7
-248	4
-249	7
-25	4010
-250	5
-251	6
-252	2
-253	7
-254	3
-255	5
-256	6
-257	6
-258	6
-259	3
-26	3616
-261	2
-262	10
-263	5
-264	1
-265	5
-266	4
-267	9
-268	6
-269	2
-27	3424
-270	6
-271	2
-272	4
-273	2
-274	4
-275	3
-276	3
-277	4
-278	3
-279	2
-28	3220
-280	3
-281	4
-282	3
-283	3
-284	2
-285	3
-286	5
-287	4
-288	2
-289	2
-29	3090
-290	3
-291	4
-292	1
-293	4
-294	5
-295	2
-297	5
-298	3
-299	1
-3	65687
-30	2875
-300	2
-301	1
-302	2
-303	3
-304	2
-305	1
-306	3
-307	4
-308	3
-31	2812
-310	2
-311	3
-312	3
-313	2
-314	1
-315	2
-316	1
-317	3
-319	2
-32	2572
-321	2
-323	2
-324	1
-325	2
-326	4
-327	3
-329	1
-33	2554
-330	3
-332	1
-333	2
-335	5
-336	3
-339	1
-34	2236
-341	2
-342	1
-343	2
-344	3
-345	3
-346	1
-347	2
-348	2
-349	3
-35	2282
-351	1
-352	2
-354	1
-355	1
-357	1
-358	1
-359	1
-36	2102
-363	3
-366	2
-368	2
-369	1
-37	1934
-372	1
-373	3
-374	2
-375	1
-376	1
-377	2
-378	1
-379	1
-38	1878
-381	2
-382	2
-383	2
-385	1
-386	2
-388	2
-389	1
-39	1767
-391	1
-393	1
-394	2
-395	1
-396	2
-398	1
-399	3
-4	47602
-40	1641
-402	2
-41	1623
-411	1
-413	1
-415	1
-416	1
-42	1492
-420	1
-421	1
-422	1
-425	1
-426	1
-429	2
-43	1479
-431	2
-433	1
-434	2
-438	2
-439	1
-44	1413
-441	1
-442	4
-444	1
-447	1
-449	1
-45	1344
-452	2
-456	1
-457	1
-46	1292
-460	1
-461	2
-468	1
-469	1
-47	1159
-48	1171
-481	1
-482	1
-49	1092
-5	36405
-50	1035
-509	1
-51	986
-511	1
-518	1
-52	930
-522	1
-53	961
-536	1
-54	906
-55	846
-553	1
-554	1
-56	767
-57	773
-575	1
-58	740
-581	1
-582	1
-586	1
-59	761
-591	1
-592	1
-595	1
-6	29163
-60	661
-61	663
-614	1
-616	2
-617	1
-62	658
-627	1
-63	611
-632	1
-64	542
-65	558
-652	1
-655	1
-656	1
-66	540
-666	1
-669	1
-67	528
-68	494
-681	1
-69	453
-692	1
-6948	1
-7	23984
-70	494
-703	1
-71	431
-719	1
-72	404
-721	1
-73	429
-732	1
-74	404
-75	376
-76	396
-769	1
-77	341
-78	322
-789	1
-79	338
-8	20084
-80	352
-81	283
-82	313
-821	1
-83	266
-84	287
-85	274
-86	250
-87	266
-88	213
-89	245
-9	17113
-90	235
-91	220
-92	224
-93	200
-94	214
-95	184
-96	205
-97	178
-977	1
-98	192
-99	172
0	139410
1	153444
10	20009
100	111
101	121
102	93
103	130
104	93
105	115
106	100
107	79
108	83
109	88
11	17159
110	85
111	76
112	61
113	82
114	101
115	68
116	87
117	72
118	76
119	64
12	15051
120	60
121	50
122	69
123	55
124	57
125	58
126	55
127	57
128	62
129	49
13	13105
