424694,369192
424694,397538
424694,10139
424694,152532
424694,1420
450465,155
450465,1924
450465,141052
450465,1452
450465,8536
332562,25196
332562,458737
332562,254470
332562,525
332562,6477
504172,4836
504172,769
504172,708
504172,438808
504172,443463
446807,336843
446807,281957
446807,101299
446807,562
446807,769
405774,428078
405774,198663
405774,294254
405774,131631
405774,9813
369972,3558
369972,424
369972,769
369972,157336
369972,210577
505954,423
505954,424
505954,369885
505954,1771
505954,637
401469,388
401469,402900
401469,339403
401469,531593
401469,520360
429197,769
429197,424
429197,640
429197,274479
429197,316029
426426,13
426426,112160
426426,483353
426426,171274
426426,1949
375262,449176
375262,424694
375262,184352
375262,26280
375262,507076
337167,281957
337167,392044
337167,341174
337167,867
337167,11027
483906,155
483906,272
483906,263115
483906,1927
483906,99861
489999,300668
489999,338970
489999,284276
489999,340677
489999,8090
433249,76341
433249,198663
433249,157336
433249,119450
433249,336843
487558,451915
487558,769
487558,424
487558,334543
487558,300671
484247,336843
484247,101299
484247,346364
484247,454983
484247,769
451915,487558
451915,424
451915,769
451915,334543
451915,300671
446021,77
446021,472715
446021,13
446021,1368
446021,1369
490132,449176
490132,26280
490132,184352
490132,511785
490132,376867
157336,126889
157336,75612
157336,568
157336,348
157336,605
340613,843
340613,340666
340613,346685
340613,8999
340613,1259
449459,197
449459,627
449459,399402
449459,180863
449459,97370
398173,10781
398173,1696
398173,12521
398173,5486
398173,984
438808,754
438808,504172
438808,429203
438808,90
438808,4982
399360,281957
399360,290512
399360,309050
399360,75174
399360,399402
447332,405774
447332,381283
447332,110415
447332,311291
447332,19908
8966,12689
8966,24021
8966,50619
8966,466282
8966,123553
210577,346364
210577,75780
210577,392044
210577,346685
210577,336843
400535,4771
400535,1266
400535,562
400535,1701
400535,10651
281957,395834
281957,379149
281957,336843
281957,8999
281957,185
458594,10781
458594,357096
458594,45569
458594,74997
458594,754
272,98566
272,36647
272,297762
272,557
272,559
315635,1924
315635,1452
315635,8536
315635,9531
315635,13640
537996,995
537996,14128
537996,9394
537996,10156
537996,11697
242582,9654
242582,218
242582,396371
242582,449443
242582,64690
470044,281957
470044,392044
470044,671
470044,674
470044,101299
491622,324786
491622,374720
491622,137113
491622,228150
491622,438799
407436,278927
407436,34584
407436,10140
407436,449176
407436,281957
155,272
155,49026
155,209112
155,40662
155,156022
440161,429
440161,510
440161,8966
440161,443463
440161,466282
244786,769
244786,74997
244786,398181
244786,281957
244786,381288
49026,155
49026,272
49026,209112
49026,487670
49026,263115
68718,272
68718,862
68718,600
68718,1374
68718,490132
401847,370663
401847,9813
401847,10818
401847,273153
401847,437557
520360,500
520360,949
520360,339403
520360,531593
520360,75656
507076,184352
507076,449176
507076,376867
507076,424694
507076,370663
263115,155
263115,272
263115,1924
263115,49521
263115,209112
119450,76341
119450,63
119450,157336
119450,61791
119450,83542
455207,8966
455207,466282
455207,454983
455207,50619
455207,449176
399055,440298
399055,9738
399055,150689
399055,381284
399055,36647
500475,4771
500475,8012
500475,398181
500475,9104
500475,17494
484297,8272
484297,10559
484297,9813
484297,49519
484297,101
316029,424694
316029,424
316029,769
316029,640
316029,399404
216015,9813
216015,8966
216015,466282
216015,12689
216015,272693
440472,10098
440472,404245
569547,157353
569547,296
569547,62
569547,78
569547,335984
228150,369885
228150,424
228150,857
228150,1771
228150,374720
483353,424694
483353,141
483353,440298
483353,369972
483353,398173
194662,98566
194662,155
194662,272
194662,14
194662,487670
16869,424
16869,857
16869,369885
16869,637
16869,156022
510355,451925
510355,425972
510355,176
510355,438590
510355,425505
205596,449176
205596,467952
205596,184352
205596,424
205596,10139
361292,342473
361292,11906
361292,19542
361292,71
361292,10560
466411,449176
466411,198663
466411,336843
466411,445651
466411,8966
446101,4421
446101,342737
446101,336804
446101,10035
446101,20815
196867,11224
196867,150689
196867,11247
196867,10545
196867,15157
553622,11631
553622,9584
553622,70512
553622,199647
553622,42239
286217,157336
286217,568
286217,101299
286217,80274
286217,336843
313369,705
313369,10545
313369,342473
313369,525
313369,6477
329865,126889
329865,157336
329865,384521
329865,348
329865,49849
457136,347026
457136,1165
457136,424
457136,769
457136,640
359940,600
359940,398181
359940,458737
359940,345887
359940,395834
11324,392044
11324,336843
11324,75780
